"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5925","TC03 - Home element safe check","chromium","2026-03-29","passed","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","5835","TC05 - Cart element safe check","chromium","2026-03-29","passed","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","822","TC18 - URL check","webkit","2026-03-29","passed","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","1726","TC15 - XSS attack in name","webkit","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","1036","TC05 - Incorrect password","chromium","2026-03-29","passed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","1451","TC10 - Reload page","webkit","2026-03-29","passed","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","944","TC19 - Title exists","webkit","2026-03-29","passed","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","2197","Verify refresh keeps chat page","firefox","2026-03-29","passed","2026-03-29","","messages.spec.js","",""
"","2079","Verify page title","firefox","2026-03-29","passed","2026-03-29","","orders.spec.js","",""
"","1325","Verify responsive view (mobile)","chromium","2026-03-29","passed","2026-03-29","","messages.spec.js","",""
"","1260","Verify orders presence or empty state","chromium","2026-03-29","passed","2026-03-29","","orders.spec.js","",""
"","6267","TC05 - Cart element safe check","webkit","2026-03-29","passed","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","654","TC09 - Password masked","chromium","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","1017","TC14 - SQL Injection in name","firefox","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","1283","TC14 - Register link visible","webkit","2026-03-29","passed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","1445","TC12 - Navigation stability","webkit","2026-03-29","passed","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","2781","Verify chat page loads","webkit","2026-03-29","passed","2026-03-29","","messages.spec.js","",""
"","5034","Verify multiple DOM elements exist","webkit","2026-03-29","passed","2026-03-29","","orders.spec.js","",""
"","2092","Verify page scroll works","firefox","2026-03-29","passed","2026-03-29","","orders.spec.js","",""
"","2151","TC06 - Unregistered email","webkit","2026-03-29","passed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","30612","TC14 - Rapid clicks safe","webkit","2026-03-29","broken","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","2173","TC03 - Invalid email format","webkit","2026-03-29","passed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","540","TC16 - Login link visible","chromium","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","725","TC02 - Name input visible","firefox","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","1160","TC03 - Email input visible","webkit","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","2283","checking sellBike button functionality","firefox","2026-03-29","passed","2026-03-29","","dashBoard.spec.js","",""
"","2133","Verify user stays logged in","firefox","2026-03-29","passed","2026-03-29","","orders.spec.js","",""
"","5812","checking Contact button functionality","webkit","2026-03-29","passed","2026-03-29","","dashBoard.spec.js","",""
"","903","TC15 - Login form visible","webkit","2026-03-29","passed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","2496","TC15 - Page loads after wait","firefox","2026-03-29","passed","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","2142","checking for myorders functional block","chromium","2026-03-29","passed","2026-03-29","","dashBoard.spec.js","",""
"","2116","TC05 - Incorrect password","webkit","2026-03-29","passed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","2057","TC12 - Multiple rapid clicks","webkit","2026-03-29","passed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","2473","TC10 - Special characters password","webkit","2026-03-29","passed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","802","TC20 - DOM loaded","chromium","2026-03-29","passed","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","1332","Verify direct URL navigation works","chromium","2026-03-29","passed","2026-03-29","","orders.spec.js","",""
"","1597","TC12 - Spaces in input","webkit","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","1210","TC15 - XSS attack in name","firefox","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","1186","TC04 - Password input visible","webkit","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","1555","TC15 - Cart layout visible","webkit","2026-03-29","passed","2026-03-29","Module 5 - Shopping Cart","cart.spec.js","",""
"","3462","TC13 - Cart scroll works","webkit","2026-03-29","passed","2026-03-29","Module 5 - Shopping Cart","cart.spec.js","",""
"","1260","Verify page scroll works","chromium","2026-03-29","passed","2026-03-29","","orders.spec.js","",""
"","4576","Verify no crash on load","webkit","2026-03-29","passed","2026-03-29","","messages.spec.js","",""
"","6409","checking Browse bike functionality","webkit","2026-03-29","passed","2026-03-29","","dashBoard.spec.js","",""
"","5080","Verify user stays logged in","webkit","2026-03-29","passed","2026-03-29","","orders.spec.js","",""
"","4824","Verify direct URL navigation works","webkit","2026-03-29","passed","2026-03-29","","orders.spec.js","",""
"","1157","Verify multiple DOM elements exist","chromium","2026-03-29","passed","2026-03-29","","messages.spec.js","",""
"","7592","checking sellBike button functionality","webkit","2026-03-29","passed","2026-03-29","","dashBoard.spec.js","",""
"","11945","TC07 - Checkout button presence (safe)","webkit","2026-03-29","passed","2026-03-29","Module 5 - Shopping Cart","cart.spec.js","",""
"","1341","TC11 - Multiple reloads","firefox","2026-03-29","passed","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","5841","Verify direct URL navigation works","webkit","2026-03-29","passed","2026-03-29","","messages.spec.js","",""
"","953","TC10 - Special characters password","chromium","2026-03-29","passed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","2198","Verify no crash on load","firefox","2026-03-29","passed","2026-03-29","","orders.spec.js","",""
"","1825","checking for the functionality of first View all link","chromium","2026-03-29","passed","2026-03-29","","dashBoard.spec.js","",""
"","938","TC17 - Login link navigation","chromium","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","403","has title","chromium","2026-03-29","passed","2026-03-29","","example.spec.js","",""
"","901","TC12 - Navigation stability","chromium","2026-03-29","passed","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","1812","Verify user stays logged in","chromium","2026-03-29","passed","2026-03-29","","orders.spec.js","",""
"","2253","checking Homepage Mylisting functional block","firefox","2026-03-29","passed","2026-03-29","","dashBoard.spec.js","",""
"","1764","Verify page title","chromium","2026-03-29","passed","2026-03-29","","messages.spec.js","",""
"","1605","TC06 - Enter valid details","webkit","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","1354","TC04 - Item names visible","chromium","2026-03-29","passed","2026-03-29","Module 5 - Shopping Cart","cart.spec.js","",""
"","1342","Verify logout from orders page","chromium","2026-03-29","passed","2026-03-29","","orders.spec.js","",""
"","30246","TC14 - Rapid clicks safe","chromium","2026-03-29","broken","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","1199","TC05 - Incorrect password","firefox","2026-03-29","passed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","5030","Verify orders presence or empty state","webkit","2026-03-29","passed","2026-03-29","","orders.spec.js","",""
"","5820","TC05 - Cart element safe check","firefox","2026-03-29","passed","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","554","TC01 - Register form visible","chromium","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","1101","TC09 - Long email input","chromium","2026-03-29","passed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","5537","checking for the functionality of second View all which navigates orders page","webkit","2026-03-29","passed","2026-03-29","","dashBoard.spec.js","",""
"","2857","checking Browse bike functionality","chromium","2026-03-29","passed","2026-03-29","","dashBoard.spec.js","",""
"","1031","TC03 - Invalid email format","chromium","2026-03-29","passed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","2187","Verify navigation back to dashboard","firefox","2026-03-29","passed","2026-03-29","","orders.spec.js","",""
"","5005","Verify scroll works in chat page","webkit","2026-03-29","passed","2026-03-29","","messages.spec.js","",""
"","2191","Verify multiple DOM elements exist","firefox","2026-03-29","passed","2026-03-29","","messages.spec.js","",""
"","2211","checking Estimator button functionality","firefox","2026-03-29","passed","2026-03-29","","dashBoard.spec.js","",""
"","866","TC05 - Submit button visible","firefox","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","2081","Verify navigation back to dashboard","firefox","2026-03-29","passed","2026-03-29","","messages.spec.js","",""
"","2382","Verify no crash on load","chromium","2026-03-29","passed","2026-03-29","","messages.spec.js","",""
"","2216","Verify multiple DOM elements exist","firefox","2026-03-29","passed","2026-03-29","","orders.spec.js","",""
"","3521","Verify chat list or empty state","webkit","2026-03-29","passed","2026-03-29","","messages.spec.js","",""
"","30153","TC07 - Click Home safely","firefox","2026-03-29","broken","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","2338","Verify direct URL navigation works","firefox","2026-03-29","passed","2026-03-29","","orders.spec.js","",""
"","1956","get started link","webkit","2026-03-29","passed","2026-03-29","","example.spec.js","",""
"","871","TC04 - Password input visible","firefox","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","3583","Verify chat page is visible","webkit","2026-03-29","passed","2026-03-29","","messages.spec.js","",""
"","1224","TC10 - Special characters password","firefox","2026-03-29","passed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","1825","checking for Active Chats functional block","chromium","2026-03-29","passed","2026-03-29","","dashBoard.spec.js","",""
"","2221","checking Contact button functionality","firefox","2026-03-29","passed","2026-03-29","","dashBoard.spec.js","",""
"","30184","TC07 - Click Home safely","chromium","2026-03-29","broken","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","837","TC13 - Rapid submit clicks","chromium","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","1295","TC20 - DOM loaded","webkit","2026-03-29","passed","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","5821","TC02 - Navbar exists (generic check)","firefox","2026-03-29","passed","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","2376","checking for myorders functional block","firefox","2026-03-29","passed","2026-03-29","","dashBoard.spec.js","",""
"","1376","TC12 - Navigation stability","firefox","2026-03-29","passed","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","5593","Verify no console errors (basic)","webkit","2026-03-29","passed","2026-03-29","","orders.spec.js","",""
"","1174","TC08 - Invalid email format","firefox","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","5735","TC06 - Logout element safe check","chromium","2026-03-29","passed","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","30483","TC07 - Click Home safely","webkit","2026-03-29","broken","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","1265","TC01 - Valid login","firefox","2026-03-29","passed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","4846","Verify logout from chat page","webkit","2026-03-29","passed","2026-03-29","","messages.spec.js","",""
"","4808","checking Homepage Mylisting functional block","webkit","2026-03-29","passed","2026-03-29","","dashBoard.spec.js","",""
"","4313","Verify responsive view (mobile)","webkit","2026-03-29","passed","2026-03-29","","messages.spec.js","",""
"","1255","Verify direct URL navigation works","chromium","2026-03-29","passed","2026-03-29","","messages.spec.js","",""
"","2206","checking Messages button functionality","firefox","2026-03-29","passed","2026-03-29","","dashBoard.spec.js","",""
"","982","TC04 - Empty password","chromium","2026-03-29","passed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","873","TC15 - Login form visible","chromium","2026-03-29","passed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","5104","checking logout button functionality","webkit","2026-03-29","passed","2026-03-29","","dashBoard.spec.js","",""
"","1739","TC10 - Long name input","webkit","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","1335","TC09 - Long email input","firefox","2026-03-29","passed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","6367","TC07 - Checkout button presence (safe)","chromium","2026-03-29","passed","2026-03-29","Module 5 - Shopping Cart","cart.spec.js","",""
"","514","TC05 - Submit button visible","chromium","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","5694","TC04 - Orders element safe check","chromium","2026-03-29","passed","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","2165","checking for the second sell bike button","firefox","2026-03-29","passed","2026-03-29","","dashBoard.spec.js","",""
"","1362","TC20 - Form remains after submit","webkit","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","5837","TC03 - Home element safe check","firefox","2026-03-29","passed","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","1101","TC19 - Required attribute validation","webkit","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","940","TC13 - Cart scroll works","chromium","2026-03-29","passed","2026-03-29","Module 5 - Shopping Cart","cart.spec.js","",""
"","4587","Verify user remains logged in","webkit","2026-03-29","passed","2026-03-29","","messages.spec.js","",""
"","1219","Verify chat page is visible","chromium","2026-03-29","passed","2026-03-29","","messages.spec.js","",""
"","2473","Verify no console errors (basic)","firefox","2026-03-29","passed","2026-03-29","","orders.spec.js","",""
"","1220","TC02 - Empty email & password","chromium","2026-03-29","passed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","1242","TC02 - Empty email & password","firefox","2026-03-29","passed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","905","TC20 - DOM loaded","firefox","2026-03-29","passed","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","1019","TC20 - DOM loaded","firefox","2026-03-29","passed","2026-03-29","Module 5 - Shopping Cart","cart.spec.js","",""
"","1243","TC01 - Register form visible","webkit","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","5042","checking Estimator button functionality","webkit","2026-03-29","passed","2026-03-29","","dashBoard.spec.js","",""
"","4761","Verify session persists after reload","webkit","2026-03-29","passed","2026-03-29","","messages.spec.js","",""
"","2001","Verify chat page loads","firefox","2026-03-29","passed","2026-03-29","","messages.spec.js","",""
"","960","TC12 - Multiple rapid clicks","chromium","2026-03-29","passed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","1948","Verify navigation back to dashboard","chromium","2026-03-29","passed","2026-03-29","","orders.spec.js","",""
"","874","TC21","chromium","2026-03-29","passed","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","1242","TC13 - Password field masked","webkit","2026-03-29","passed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","813","TC11 - Special characters in name","chromium","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","2123","TC07 - SQL Injection attempt","webkit","2026-03-29","passed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","841","TC17 - Forward navigation","chromium","2026-03-29","passed","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","934","TC09 - Password masked","firefox","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","4326","Verify no crash on load","webkit","2026-03-29","passed","2026-03-29","","orders.spec.js","",""
"","2180","checking Browse bike functionality","firefox","2026-03-29","passed","2026-03-29","","dashBoard.spec.js","",""
"","2284","checking for Active Chats functional block","firefox","2026-03-29","passed","2026-03-29","","dashBoard.spec.js","",""
"","1164","checking for the logo visibility","firefox","2026-03-29","passed","2026-03-29","","dashBoard.spec.js","",""
"","1821","checking Homepage Mylisting functional block","chromium","2026-03-29","passed","2026-03-29","","dashBoard.spec.js","",""
"","1816","Verify orders page loads","chromium","2026-03-29","passed","2026-03-29","","orders.spec.js","",""
"","5754","Verify page scroll works","webkit","2026-03-29","passed","2026-03-29","","orders.spec.js","",""
"","966","TC16 - Back navigation","firefox","2026-03-29","passed","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","1668","TC14 - SQL Injection in name","webkit","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","3480","Verify session persists after reload","chromium","2026-03-29","passed","2026-03-29","","messages.spec.js","",""
"","1066","TC05 - Submit button visible","webkit","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","2196","TC04 - Empty password","webkit","2026-03-29","passed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","6126","TC04 - Orders element safe check","webkit","2026-03-29","passed","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","1517","TC13 - Rapid submit clicks","webkit","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","2943","checking sellBike button functionality","chromium","2026-03-29","passed","2026-03-29","","dashBoard.spec.js","",""
"","885","TC19 - Title exists","chromium","2026-03-29","passed","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","2512","checking for the logo visibility","webkit","2026-03-29","passed","2026-03-29","","dashBoard.spec.js","",""
"","2115","Verify chat page is visible","firefox","2026-03-29","passed","2026-03-29","","messages.spec.js","",""
"","2568","Verify logout from orders page","firefox","2026-03-29","passed","2026-03-29","","orders.spec.js","",""
"","1330","checking logout button functionality","chromium","2026-03-29","passed","2026-03-29","","dashBoard.spec.js","",""
"","915","TC19 - Title exists","firefox","2026-03-29","passed","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","1651","TC08 - Invalid email format","webkit","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","1403","checking for the second sell bike button","chromium","2026-03-29","passed","2026-03-29","","dashBoard.spec.js","",""
"","953","TC15 - Cart layout visible","firefox","2026-03-29","passed","2026-03-29","Module 5 - Shopping Cart","cart.spec.js","",""
"","5741","TC04 - Orders element safe check","firefox","2026-03-29","passed","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","1007","TC06 - Enter valid details","firefox","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","4857","Verify no console errors (basic)","webkit","2026-03-29","passed","2026-03-29","","messages.spec.js","",""
"","6847","TC07 - Checkout button presence (safe)","firefox","2026-03-29","passed","2026-03-29","Module 5 - Shopping Cart","cart.spec.js","",""
"","525","TC03 - Email input visible","chromium","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","1019","TC14 - Register link visible","firefox","2026-03-29","passed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","1114","TC20 - Form remains after submit","firefox","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","2194","Verify logout from chat page","firefox","2026-03-29","passed","2026-03-29","","messages.spec.js","",""
"","4982","checking for the functionality of first View all link","webkit","2026-03-29","passed","2026-03-29","","dashBoard.spec.js","",""
"","7099","TC11 - Leading/trailing spaces","firefox","2026-03-29","failed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","590","TC04 - Password input visible","chromium","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","1644","TC10 - Cart UI stable on reload","chromium","2026-03-29","passed","2026-03-29","Module 5 - Shopping Cart","cart.spec.js","",""
"","970","TC08 - XSS attack","chromium","2026-03-29","passed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","931","TC16 - Back navigation","webkit","2026-03-29","passed","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","779","TC07 - Empty form submission","chromium","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","1772","checking for the functionality of second View all which navigates orders page","chromium","2026-03-29","passed","2026-03-29","","dashBoard.spec.js","",""
"","6048","Verify page title","webkit","2026-03-29","passed","2026-03-29","","messages.spec.js","",""
"","2318","Verify chat list or empty state","firefox","2026-03-29","passed","2026-03-29","","messages.spec.js","",""
"","890","TC20 - DOM loaded","chromium","2026-03-29","passed","2026-03-29","Module 5 - Shopping Cart","cart.spec.js","",""
"","5384","Verify page title","webkit","2026-03-29","passed","2026-03-29","","orders.spec.js","",""
"","881","TC10 - Long name input","chromium","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","969","get started link","firefox","2026-03-29","passed","2026-03-29","","example.spec.js","",""
"","4260","Verify navigation back to dashboard","webkit","2026-03-29","passed","2026-03-29","","messages.spec.js","",""
"","1164","Verify user remains logged in","chromium","2026-03-29","passed","2026-03-29","","messages.spec.js","",""
"","1201","TC01 - Page loads successfully","webkit","2026-03-29","passed","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","4954","Verify navigation back to dashboard","webkit","2026-03-29","passed","2026-03-29","","orders.spec.js","",""
"","2757","Verify no console errors (basic)","firefox","2026-03-29","passed","2026-03-29","","messages.spec.js","",""
"","5688","TC02 - Navbar exists (generic check)","chromium","2026-03-29","passed","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","1020","TC07 - SQL Injection attempt","chromium","2026-03-29","passed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","1751","Verify chat list or empty state","chromium","2026-03-29","passed","2026-03-29","","messages.spec.js","",""
"","1264","TC10 - Cart UI stable on reload","firefox","2026-03-29","passed","2026-03-29","Module 5 - Shopping Cart","cart.spec.js","",""
"","975","checking for the logo visibility","chromium","2026-03-29","passed","2026-03-29","","dashBoard.spec.js","",""
"","2644","TC09 - Long email input","webkit","2026-03-29","passed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","5936","TC11 - Leading/trailing spaces","chromium","2026-03-29","failed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","1606","TC19 - Page title exists","webkit","2026-03-29","passed","2026-03-29","Module 5 - Shopping Cart","cart.spec.js","",""
"","866","TC17 - Forward navigation","firefox","2026-03-29","passed","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","1587","TC21","webkit","2026-03-29","passed","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","828","TC03 - Email input visible","firefox","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","5131","Verify logout from orders page","webkit","2026-03-29","passed","2026-03-29","","orders.spec.js","",""
"","584","get started link","chromium","2026-03-29","passed","2026-03-29","","example.spec.js","",""
"","2468","Verify refresh keeps orders page","firefox","2026-03-29","passed","2026-03-29","","orders.spec.js","",""
"","2308","TC08 - XSS attack","webkit","2026-03-29","passed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","2199","Verify orders presence or empty state","firefox","2026-03-29","passed","2026-03-29","","orders.spec.js","",""
"","843","TC16 - Back navigation","chromium","2026-03-29","passed","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","5294","Verify responsive view (mobile)","webkit","2026-03-29","passed","2026-03-29","","orders.spec.js","",""
"","7424","TC11 - Leading/trailing spaces","webkit","2026-03-29","failed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","834","TC17 - Back navigation","chromium","2026-03-29","passed","2026-03-29","Module 5 - Shopping Cart","cart.spec.js","",""
"","2184","TC01 - Valid login","webkit","2026-03-29","passed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","962","TC06 - Unregistered email","chromium","2026-03-29","passed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","2232","Verify direct URL navigation works","firefox","2026-03-29","passed","2026-03-29","","messages.spec.js","",""
"","1642","TC17 - Login link navigation","webkit","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","1756","checking for Browse available bikes link navigates to browse bike page","chromium","2026-03-29","passed","2026-03-29","","dashBoard.spec.js","",""
"","2235","Verify scroll works in chat page","firefox","2026-03-29","passed","2026-03-29","","messages.spec.js","",""
"","1059","TC19 - Page title exists","firefox","2026-03-29","passed","2026-03-29","Module 5 - Shopping Cart","cart.spec.js","",""
"","3243","Verify orders page loads","firefox","2026-03-29","passed","2026-03-29","","orders.spec.js","",""
"","1191","TC07 - SQL Injection attempt","firefox","2026-03-29","passed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","1246","Verify navigation back to dashboard","chromium","2026-03-29","passed","2026-03-29","","messages.spec.js","",""
"","3353","Verify session persists after reload","firefox","2026-03-29","passed","2026-03-29","","messages.spec.js","",""
"","1186","TC01 - Valid login","chromium","2026-03-29","passed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","1174","TC02 - Name input visible","webkit","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","888","TC18 - Forward navigation","chromium","2026-03-29","passed","2026-03-29","Module 5 - Shopping Cart","cart.spec.js","",""
"","1259","TC17 - Forward navigation","webkit","2026-03-29","passed","2026-03-29","Module 3 - Navigation Bar","navbar.spec.js","",""
"","5344","checking for Active Chats functional block","webkit","2026-03-29","passed","2026-03-29","","dashBoard.spec.js","",""
"","772","TC14 - SQL Injection in name","chromium","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","2614","Verify session persists after reload","firefox","2026-03-29","passed","2026-03-29","","orders.spec.js","",""
"","513","TC18 - Email field type","chromium","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","4618","checking Messages button functionality","webkit","2026-03-29","passed","2026-03-29","","dashBoard.spec.js","",""
"","806","TC19 - Required attribute validation","firefox","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","5668","Verify session persists after reload","webkit","2026-03-29","passed","2026-03-29","","orders.spec.js","",""
